--------Part 1--------   -------Part 2--------
Day       Time   Rank  Score       Time  Rank  Score
 25   00:49:31   1192      0   00:50:31  1051      0
 24   01:18:31   2052      0   02:06:52   871      0
 23   01:22:58   3030      0   01:46:38  1256      0
 22   01:49:57   2526      0   02:33:49  2486      0
 21   01:09:14   4558      0   06:01:29  2774      0
 20   02:21:27   3915      0   04:17:32  3140      0
 19   00:57:58   3885      0   02:00:54  2492      0
 18   00:46:59   2691      0   01:38:45  2068      0
 17   01:18:51   1910      0   02:16:59  2418      0
 16   01:23:04   4711      0   01:39:50  4511      0
 15   00:15:21   4938      0   00:59:58  5025      0
 14   00:35:49   5225      0   01:44:09  4309      0
 13   01:05:18   4904      0   01:23:53  3856      0
 12   00:58:53   4139      0   02:19:34  2543      0
 11   00:51:40   6337      0   01:02:59  5441      0
 10   01:26:40   6077      0   02:55:11  3989      0
  9   00:41:47   7339      0   01:01:47  8113      0
  8   00:14:25   4026      0   00:25:27  1218      0
  7   01:06:18   7469      0   01:25:56  5985      0
  6   00:19:13   6468      0   00:20:51  4799      0
  5   01:32:37  11075      0   01:47:47  3790      0
  4   00:15:30   5831      0   00:42:34  6741      0
  3   01:14:35   8353      0   01:46:36  7975      0
  2   00:18:54   4097      0   00:25:49  4244      0
  1   00:27:17   9575      0   00:38:44  4411      0
